Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by RNTRD Rent (weekly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"Tea Gardens - Hawks Nest",22,0,3,8,10,18,12,36,21,78,35,79,41,60,39,25,4,8,0,0,0,6,0,12,1983,2498,
"Williamtown - Medowie - Karuah",21,3,4,16,18,27,30,45,77,135,36,119,44,134,76,83,36,116,25,6,0,0,3,24,4099,5181,
"Muswellbrook",47,16,32,52,55,227,127,210,166,353,252,275,65,75,17,19,5,14,0,0,0,0,0,65,2942,5026,
"Muswellbrook Region",68,4,0,6,16,27,22,46,19,41,30,55,10,15,4,7,0,6,0,0,0,0,0,25,1205,1600,
"Scone",38,3,14,27,10,58,33,89,59,107,45,87,28,48,15,27,6,24,0,0,0,0,0,23,1737,2475,
"Scone Region",182,16,11,56,27,83,33,84,57,116,46,52,13,8,5,6,0,7,7,0,0,0,3,65,2609,3496,
"Dapto - Avondale",39,26,29,160,71,114,78,110,62,99,75,185,98,283,141,226,72,172,30,0,0,0,0,80,7356,9519,
"Horsley - Kembla Grange",15,0,0,0,4,3,4,14,3,14,5,15,11,36,41,74,34,98,32,3,0,0,0,6,2570,2996,
"Port Kembla Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
"Unanderra - Mount Kembla",21,17,22,164,39,72,58,78,24,55,44,93,52,120,73,83,40,111,42,16,4,0,0,51,4464,5734,
"Berkeley - Lake Heights - Cringila",40,35,19,186,69,117,73,91,45,95,78,156,105,181,92,94,35,88,27,11,0,0,5,70,3827,5538,
"Port Kembla - Warrawong",34,51,31,188,68,94,105,151,78,135,47,126,85,153,65,61,28,47,15,6,0,0,0,56,2597,4224,
"Windang - Primbee",19,0,10,24,13,28,23,46,31,39,20,34,26,45,17,28,14,44,9,0,0,0,0,19,1578,2058,
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Albion Park - Macquarie Pass",32,4,0,28,12,19,8,34,12,23,19,50,34,103,88,111,50,195,32,7,0,0,0,18,4222,5106,
"Albion Park Rail",16,4,8,40,13,33,25,43,20,48,28,64,38,85,58,83,30,45,13,0,0,0,0,19,2099,2799,
"Kiama",29,0,10,13,4,18,8,14,18,38,20,57,36,55,48,82,49,132,56,27,6,0,9,24,2653,3406,
"Kiama Downs - Minnamurra",16,5,0,4,0,4,0,11,8,11,9,23,6,24,26,33,20,91,23,0,0,0,0,3,1951,2271,
"Kiama Hinterland - Gerringong",38,9,3,12,4,23,11,24,14,10,9,29,16,23,28,55,17,124,36,27,5,0,0,31,2551,3092,
"Shellharbour - Flinders",30,8,12,65,12,30,22,38,32,24,22,52,32,95,63,126,52,371,219,41,4,6,4,33,4744,6117,
"Shellharbour - Oak Flats",14,10,9,49,13,24,15,39,31,60,34,75,38,100,81,112,41,149,36,4,0,0,0,24,3081,4048,
"Warilla",47,34,36,271,112,222,124,178,106,172,126,305,193,285,201,244,82,181,21,8,0,0,0,102,5656,8714,
"Balgownie - Fairy Meadow",65,22,36,237,64,108,80,115,71,127,90,193,118,210,137,192,111,323,121,47,18,7,9,95,6138,8727,
"Corrimal - Tarrawanna - Bellambi",37,37,29,294,93,146,109,152,85,180,135,212,120,185,134,154,62,199,42,12,0,5,13,83,4294,6812,
"Figtree - Keiraville",47,14,7,82,27,61,57,92,73,132,84,133,84,114,66,167,49,312,112,46,9,4,11,49,6250,8081,
"Helensburgh",9,4,4,4,9,0,4,16,0,9,4,16,10,18,6,34,23,117,63,21,23,4,0,15,2662,3071,
"Thirroul - Austinmer - Coalcliff",32,6,8,21,7,12,3,17,14,19,16,42,17,44,28,65,28,163,122,71,30,30,12,15,3536,4335,
"Woonona - Bulli - Russell Vale",38,25,28,199,50,88,32,95,37,91,52,125,39,100,75,143,61,295,93,38,15,11,5,59,6017,7814,
"Wollongong - East",38,44,19,207,50,68,62,83,88,192,122,299,276,379,227,295,118,488,254,95,28,11,9,88,3711,7237,
"Wollongong - West",53,59,45,227,53,94,89,137,72,158,137,319,197,239,132,196,101,533,159,53,25,0,5,83,3938,7108,
"Bulahdelah - Stroud",41,8,0,16,12,33,16,40,27,46,38,32,13,6,0,5,0,8,0,0,0,0,3,19,1709,2067,
"Forster",54,10,14,65,43,116,122,141,95,176,107,194,127,188,129,86,43,99,7,4,0,0,4,50,4948,6819,
"Forster-Tuncurry Region",42,11,0,3,11,14,10,36,26,51,44,68,22,44,14,23,5,14,0,0,0,0,3,25,2318,2782,
"Tuncurry",24,13,14,52,15,59,42,115,71,107,54,92,42,57,41,28,11,20,3,0,0,0,0,31,2353,3247,
"Kempsey",48,21,21,93,63,168,138,240,140,273,147,181,48,81,20,10,0,6,6,0,4,0,9,48,4244,5983,
"Kempsey Region",75,12,6,36,22,66,63,91,39,94,68,83,24,25,8,19,4,6,7,0,0,0,4,29,3407,4180,
"Macksville - Scotts Head",26,3,0,29,26,32,21,47,23,55,49,70,32,47,11,17,0,3,0,0,0,0,0,27,1607,2140,
"Nambucca Heads",13,8,6,112,41,108,84,120,53,139,77,119,59,71,24,28,4,30,11,3,7,3,4,44,2332,3508,
"Nambucca Heads Region",53,15,5,37,32,49,28,56,34,56,31,60,16,32,12,21,9,17,4,0,0,0,0,20,2747,3330,
"South West Rocks",20,6,0,12,3,29,26,58,41,84,60,77,44,73,26,19,6,27,5,3,0,6,0,21,1956,2622,
"Lord Howe Island",13,0,3,0,3,3,0,3,0,4,4,4,0,5,0,5,0,0,0,3,0,0,0,9,129,180,
"Laurieton - Bonny Hills",46,20,11,47,20,52,70,87,69,128,95,151,106,155,104,100,41,79,13,0,7,0,0,39,6265,7706,
"Port Macquarie - East",73,33,19,118,57,96,84,176,152,267,236,302,159,348,299,322,187,396,134,28,8,3,7,95,8900,12511,
"Port Macquarie - West",43,22,29,207,38,97,60,124,92,173,149,225,167,250,169,184,85,258,69,12,6,8,4,75,5675,8228,
"Port Macquarie Region",55,3,0,19,6,19,16,33,8,34,14,32,14,27,10,11,5,27,8,0,0,0,3,7,1854,2201,
"Wauchope",41,5,11,47,15,40,48,78,35,99,74,144,83,111,56,60,15,56,7,3,0,0,0,31,3472,4542,
"Gloucester",42,10,5,43,27,45,33,49,38,59,57,60,23,21,4,9,0,3,0,0,0,0,0,19,1747,2285,
"Old Bar - Manning Point - Red Head",38,7,0,17,10,44,33,51,71,90,95,126,85,116,32,68,26,57,0,4,0,0,0,18,3648,4641,
"Taree",48,26,35,153,118,257,244,331,247,394,308,323,137,125,47,29,12,23,4,3,3,0,3,104,6122,9108,
"Taree Region",100,6,7,32,22,66,41,110,47,93,75,101,39,64,18,40,7,11,0,0,0,0,10,47,4672,5599,
"Wingham",20,0,0,23,13,51,35,49,27,72,54,92,17,29,11,8,0,3,4,0,0,0,0,12,1785,2324,
"Albury - East",20,9,19,38,43,97,91,124,89,206,156,172,94,162,97,128,13,49,4,4,3,0,0,43,4196,5854,
"Albury - North",22,17,18,98,63,149,93,139,123,170,111,125,54,81,13,14,6,17,0,0,0,0,0,45,2931,4291,
"Albury - South",39,26,33,127,119,173,125,151,137,174,89,123,64,56,33,60,9,49,11,0,0,0,0,50,3129,4795,
"Albury Region",110,11,17,55,40,81,75,109,40,55,24,22,12,11,7,0,0,4,5,0,0,0,3,34,3831,4558,
"Lavington",35,9,30,116,141,347,228,349,229,291,227,149,66,61,24,20,3,14,6,0,0,0,0,71,4248,6662,
"Hay",48,19,10,35,53,62,35,41,6,16,0,3,0,3,0,0,0,5,0,0,0,0,0,18,990,1352,
"Wentworth - Buronga",28,45,12,45,60,91,90,74,20,36,16,15,8,17,3,5,0,0,5,0,0,0,4,26,1994,2594,
"Wentworth-Balranald Region",92,37,13,26,26,52,40,45,7,11,6,5,0,0,0,4,0,4,0,0,0,0,0,33,1211,1614,
"Corowa",15,3,13,29,42,90,67,92,63,80,28,38,0,10,0,0,0,6,0,0,0,0,0,17,1874,2482,
"Corowa Region",88,20,15,30,18,39,36,65,51,53,42,42,13,11,0,0,0,0,4,0,0,5,10,16,2440,3008,
"Deniliquin",23,15,19,74,94,119,104,129,62,75,45,59,12,16,8,4,4,0,0,5,0,0,7,43,2499,3422,
"Deniliquin Region",165,41,30,66,58,67,29,53,9,17,4,4,0,8,0,4,0,7,0,0,7,0,0,49,2395,2999,
"Moama",19,16,0,11,10,10,29,54,54,66,41,69,39,40,23,28,11,20,3,0,0,0,7,19,1955,2537,
"Tocumwal - Finley - Jerilderie",111,34,52,110,53,129,108,121,64,70,28,36,8,9,6,5,0,0,3,0,3,0,0,51,3366,4376,
"Armidale",92,28,45,144,98,239,208,364,223,388,213,358,196,283,155,141,70,112,23,4,0,0,12,85,5876,9343,
