Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA2 (UR)",
"Mullumbimby",248,133,1030,695,1032,1696,0,403,226,1082,1454,7994,
"Casino",70,59,489,508,1876,3481,21,1614,302,1313,2496,12231,
"Casino Region",50,53,343,366,1148,1875,9,841,155,832,1279,6972,
"Goonellabah",225,155,1267,813,2122,3367,14,1108,389,1198,2472,13122,
"Kyogle",91,86,520,460,1089,2014,9,779,210,850,1217,7312,
"Lismore",335,251,1493,885,2337,4025,20,1346,424,1570,2599,15282,
"Lismore Region",426,321,1805,1210,2328,3386,10,898,418,1538,2696,15028,
"Kingscliff - Fingal Head",334,213,1456,1069,1922,3176,12,847,322,1375,2420,13150,
"Murwillumbah",119,114,646,589,1396,2261,13,827,283,1010,1689,8942,
"Murwillumbah Region",192,155,912,755,1551,2277,13,658,265,1188,1679,9653,
"Pottsville",250,194,1230,960,2233,3154,12,889,348,1166,2748,13181,
"Tweed Heads",324,196,1433,1390,3217,5643,17,1525,579,2467,2618,19418,
"Banora Point",187,164,1094,1186,2650,4709,14,1374,489,1329,2440,15636,
"Terranora - North Tumblegum",66,52,344,262,558,830,3,179,93,172,684,3249,
"Tweed Heads South",62,50,414,506,1337,2476,10,969,271,1004,1045,8146,
"Griffith (NSW)",244,157,1269,920,2640,5043,16,1958,655,2305,3934,19143,
"Griffith Region",84,87,753,584,1778,3597,18,1380,342,1483,2776,12880,
"Leeton",88,73,614,443,1477,2753,11,1125,238,1216,2051,10086,
"Narrandera",40,48,316,287,796,1611,3,694,154,897,1178,6034,
"Tumbarumba",28,41,187,191,527,925,3,358,72,543,561,3445,
"Tumut",49,42,381,337,942,1621,5,695,139,861,1191,6275,
"Tumut Region",43,40,317,300,767,1244,0,476,118,547,855,4715,
"Cootamundra",71,63,434,478,1175,2086,12,882,229,837,1294,7566,
"Gundagai",31,25,214,172,537,1019,4,402,58,417,724,3596,
"Junee",45,35,317,272,849,1443,14,527,132,1507,1108,6245,
"Temora",39,62,421,312,1011,1892,10,844,157,699,1275,6717,
"Wagga Wagga - East",438,254,1677,1128,2765,4101,10,1195,456,1046,3498,16585,
"Wagga Wagga - North",139,56,530,271,650,1281,6,229,94,313,822,4404,
"Wagga Wagga - South",374,263,1891,1285,3525,5388,30,1798,557,1487,4668,21266,
"Wagga Wagga - West",370,151,1290,655,1786,3286,14,1039,340,1260,1966,12155,
"Wagga Wagga Region",193,143,1098,872,2466,3695,15,1274,345,1531,3181,14819,
"Berry - Kangaroo Valley",335,173,1065,782,1356,1919,6,619,309,991,1236,8788,
"Callala Bay - Currarong",62,42,271,274,690,924,4,317,132,383,511,3611,
"Culburra Beach",66,67,298,322,971,1260,3,579,122,631,642,4962,
"Ettrema - Sassafras - Budawang",0,0,10,3,14,5,0,3,0,9,7,54,
"Huskisson - Vincentia",203,100,500,370,716,906,7,297,127,427,547,4194,
"North Nowra - Bomaderry",295,242,1298,1270,2735,3678,21,1356,509,1482,2870,15759,
"Nowra",222,177,988,1219,3378,4758,39,1835,465,2976,3984,20040,
"St Georges Basin - Erowal Bay",121,115,585,898,2634,3778,21,1646,454,1403,2347,14006,
"Sussex Inlet - Berrara",37,30,206,252,952,1178,11,549,147,495,486,4345,
"Tomerong - Wandandian - Woollamia",69,54,265,255,754,782,0,261,94,299,574,3405,
"Ulladulla",251,220,1074,1041,2688,4006,16,1436,529,1656,2355,15279,
"Ulladulla Region",127,74,395,366,1053,1198,7,390,197,530,728,5063,
"Bowral",674,309,1890,1332,1445,2989,9,670,487,1132,2015,12948,
"Hill Top - Colo Vale",75,70,338,412,1194,1585,10,436,172,384,1353,6026,
"Mittagong",319,133,937,697,1351,2161,9,613,297,966,1517,8999,
"Moss Vale - Berrima",270,149,900,704,1547,2466,6,760,336,839,1819,9801,
"Robertson - Fitzroy Falls",156,59,442,304,539,702,0,182,125,337,658,3506,
"Southern Highlands",271,138,887,605,986,1487,3,338,225,617,1037,6585,
"Baulkham Hills (East)",1809,414,4014,1915,2187,4768,3,955,693,1152,5022,22943,
"Baulkham Hills (West) - Bella Vista",1571,346,3821,1885,1822,4632,0,708,660,695,3929,20068,
"Glenhaven",289,127,1097,650,653,1496,4,270,220,319,1134,6253,
"West Pennant Hills",1194,262,2926,1033,841,2843,0,471,456,407,2203,12640,
"Castle Hill - Central",607,132,1495,681,637,1668,7,265,222,325,1574,7609,
"Castle Hill - East",407,105,1048,443,348,1229,6,278,181,756,799,5594,
"Castle Hill - North",877,239,2210,1099,1035,2725,6,466,420,495,2314,11886,
"Castle Hill - South",734,196,1922,854,768,2032,0,322,353,365,1973,9519,
"Castle Hill - West",457,73,1025,444,359,1209,0,178,174,197,1117,5239,
"Cherrybrook",1816,468,4148,1655,1145,4051,3,712,594,756,3429,18768,
"Kellyville",1463,362,3889,2018,2182,5324,5,896,722,861,5511,23231,
"Dural - Kenthurst - Wisemans Ferry",849,304,2898,1794,2841,5015,14,1166,769,1377,3990,21019,
"Galston - Laughtondale",228,90,716,500,753,1175,0,280,182,315,971,5210,
